words,number
automated vehicle,10
automated driving,10
autonomous vehicle,10
autonomous driving,10
self-driving,8
driverless ,7
vehicle automation,6
robotaxi,3
adaptive cruise control,6
cooperative adaptive cruise control,6
connected vehicle,8
automated highway system,4
artificial intelligence,4
computer vision,3
big data,2
advanced driver assitance system (ADAS),6
conditional automation,4
partial automation ,4
high automation,4
full automation ,5
wireless communication,1
robotics,1
machine learning ,2
deep learning ,3
object detection ,1
natural language processing (NLP),1
platooning,5
reinforcement learning,3
sensor fusion,1
intelligent parking,1
Intelligent Transportation System (ITS),1
Internet of Things (IoT),2
Dedicated Short Range Communication (DSRC),1
Cybersecurity,1
Advanced Collision Avoidance Technologies (ACAT),2